INSTANCE,GAME_TYPE,GAME_INSTANCE,ALGORITHM_VARIANT,CUT,CUT_VALIDITY,ENUMERATE_NE,MODEL_TYPE,BRANCHING_STRATEGY,FEASIBILITY_TOL,SOLVE_STATUS,NUMBER_OF_NE_FOUND,NODE_EXPLORED,CUTS_ADDED,TIME,TIME_CUT,ANTICYCLING_MEASURES_TAKEN
slurm_20646852-13.out:result,C22_1,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,11,0,0.234026,0,0
slurm_20646852-14.out:result,C22_2,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,30,4,2.3105,3.8e-05,0
slurm_20646852-15.out:result,C22_3,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,54,9,2.76197,8.1e-05,0
slurm_20646852-16.out:result,C22_4,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,NO_SOLUTION_FOUND,0,61,9,3.45111,9.1e-05,0
slurm_20646852-17.out:result,C23_1,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,31,4,4.64652,3.7e-05,0
slurm_20646852-18.out:result,C23_2,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,NO_SOLUTION_FOUND,0,91,11,100.648,0.000114,0
slurm_20646852-19.out:result,C23_3,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,51,9,74.0101,9.3e-05,0
slurm_20646852-20.out:result,C23_4,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,NO_SOLUTION_FOUND,0,133,20,72.4372,0.00019,0
slurm_20646852-21.out:result,C23_5,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,NO_SOLUTION_FOUND,0,97,14,38.4636,0.000139,0
slurm_20646852-22.out:result,C23_6,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,65,10,11.5254,0.00011,0
slurm_20646852-23.out:result,C23_7,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,27,6,6.40937,5.8e-05,0
slurm_20646852-24.out:result,C23_8,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,118,18,9.8415,0.000183,0
slurm_20646852-25.out:result,C24_1,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,116,13,247.985,0.000133,0
slurm_20646852-26.out:result,C24_2,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,NO_SOLUTION_FOUND,0,467,32,304.098,0.000325,0
slurm_20646852-27.out:result,C24_3,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,NO_SOLUTION_FOUND,0,355,32,805.534,0.00032,0
slurm_20646852-28.out:result,C24_4,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,NO_SOLUTION_FOUND,0,375,16,1603.83,0.000173,0
slurm_20646852-29.out:result,C25_1,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,359,28,3599.9,0.000318,0
slurm_20646852-30.out:result,C25_2,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,96,10,3599.92,0.000114,0
slurm_20646852-31.out:result,C25_3,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,268,21,3136.55,0.000239,0
slurm_20646852-32.out:result,C25_4,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,303,23,3599.91,0.000288,0
slurm_20646852-33.out:result,C32_1,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,246,33,23.6071,0.000348,0
slurm_20646852-34.out:result,C32_2,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,35,9,6.29637,0.000104,0
slurm_20646852-35.out:result,C32_3,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,405,48,40.7168,0.000467,0
slurm_20646852-36.out:result,C32_4,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,NO_SOLUTION_FOUND,0,193,34,34.2866,0.000321,0
slurm_20646852-37.out:result,C33_1,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,866,78,3599.9,0.000788,0
slurm_20646852-38.out:result,C33_2,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,196,26,3599.91,0.000252,0
slurm_20646852-39.out:result,C33_3,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,715,44,711.282,0.000453,0
slurm_20646852-40.out:result,C33_4,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,982,51,3599.9,0.000518,0
slurm_20646852-65.out:result,N22_1,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,18,4,3.16249,4.8e-05,0
slurm_20646852-66.out:result,N22_2,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,58,8,3.05089,7.8e-05,0
slurm_20646852-67.out:result,N22_3,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,67,10,3.95262,0.000103,0
slurm_20646852-68.out:result,N22_4,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,NO_SOLUTION_FOUND,0,33,8,2.28971,7.6e-05,0
slurm_20646852-69.out:result,N23_1,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,186,27,10.2784,0.000295,0
slurm_20646852-70.out:result,N23_2,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,9,4,2.77783,3.8e-05,0
slurm_20646852-71.out:result,N23_3,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,NO_SOLUTION_FOUND,0,25,7,3.4262,9.8e-05,0
slurm_20646852-72.out:result,N23_4,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,146,20,10.4954,0.000254,0
slurm_20646852-73.out:result,N23_5,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,11,4,1.34205,3.7e-05,0
slurm_20646852-74.out:result,N23_6,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,NO_SOLUTION_FOUND,0,159,8,19.9651,9e-05,0
slurm_20646852-75.out:result,N23_7,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,NO_SOLUTION_FOUND,0,27,6,8.43424,7e-05,0
slurm_20646852-76.out:result,N23_8,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,NO_SOLUTION_FOUND,0,77,12,8.0991,0.000144,0
slurm_20646852-77.out:result,N24_1,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,10,4,4.58814,4.8e-05,0
slurm_20646852-78.out:result,N24_2,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,NO_SOLUTION_FOUND,0,21,6,72.6435,6.5e-05,0
slurm_20646852-79.out:result,N24_3,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,NO_SOLUTION_FOUND,0,53,8,7.96652,9.4e-05,0
slurm_20646852-80.out:result,N24_4,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,NO_SOLUTION_FOUND,0,79,17,10.9575,0.000188,0
slurm_20646852-81.out:result,N25_1,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,NO_SOLUTION_FOUND,0,125,22,108.93,0.000242,0
slurm_20646852-82.out:result,N25_2,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,176,18,36.0073,0.000208,0
slurm_20646852-83.out:result,N25_3,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,89,13,24.68,0.000164,0
slurm_20646852-84.out:result,N25_4,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,87,12,26.9259,0.000146,0
slurm_20646852-85.out:result,N32_1,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,NO_SOLUTION_FOUND,0,153,12,14.4151,0.000116,0
slurm_20646852-86.out:result,N32_2,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,14,7,1.80969,6.9e-05,0
slurm_20646852-87.out:result,N32_3,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,77,13,7.33069,0.000132,0
slurm_20646852-88.out:result,N32_4,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,41,8,4.57503,6.9e-05,0
slurm_20646852-89.out:result,N33_1,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,7,0,6.02186,0,0
slurm_20646852-90.out:result,N33_2,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,297,38,193.375,0.000385,0
slurm_20646852-91.out:result,N33_3,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,NO_SOLUTION_FOUND,0,137,20,95.092,0.000211,0
slurm_20646852-92.out:result,N33_4,NEP,NEPdiscrete-Schwarze23,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,178,27,905.514,0.00031,0
