filename,keyword,instance,t1,t2,t3,O(t1),O(t2),O(t3),#NE,TimeGurobi,TimeNECheck,TimeRequirements,TimeSetEmpty,G_CALLS1,G_CALLS2,G_CALLS3,G_CALLS4,N_ITER,N_I
slurm_20645692-65.out,result,C22_1,9.7438,2460.379,2604.3354,1,1149,1225,2,1018.8713,345.6698,740.0503,498.0795,7328,1225,2541,1958,1698,65
slurm_20645692-66.out,result,C22_2,3.966,0,1163.317,1,0,542,1,486.5939,91.5811,356.8729,227.2694,2892,542,1213,846,760,66
slurm_20647368-67.out,result,C22_3,2.7108,5.8205,117.1321,5,18,700,2,45.1337,21.2653,33.2466,16.7242,3142,700,1163,560,762,67
slurm_20645692-68.out,result,C22_4,0,0,3602.8533,0,0,454,0,3046.2783,74.503,270.3103,210.0494,22071,454,1051,879,656,68
slurm_20645692-69.out,result,C23_1,1341.6677,0,3601.2436,498,0,1498,1,1486.6428,514.2328,1238.564,359.7476,10509,1498,5298,1402,2265,69
slurm_20645692-70.out,result,C23_2,0,0,3602.5499,0,0,343,0,2914.5795,87.667,481.2201,116.5175,21146,343,1685,351,650,70
slurm_20645692-71.out,result,C23_3,170.8311,0,3600.1974,39,0,1975,1,1274.1897,857.6711,1268.3582,197.2182,8900,1975,4694,705,2224,71
slurm_20645692-72.out,result,C23_4,0,0,3600.0116,0,0,1847,0,1665.3863,352.9884,1218.5591,360.2497,12477,1847,4848,1388,2192,72
slurm_20645692-73.out,result,C23_5,0,0,3600.1458,0,0,758,0,1914.4385,448.5719,872.5003,361.8634,13494,758,3890,1564,1154,73
slurm_20645692-74.out,result,C23_6,0,0,3601.7466,0,0,1200,0,1010.0915,1024.607,1130.1261,434.1418,6445,1200,4257,1711,1615,74
slurm_20645692-75.out,result,C23_7,283.6446,0,3600.0929,95,0,1476,1,1078.4961,446.4103,973.074,1099.0975,8080,1476,3674,3872,1894,75
slurm_20645692-76.out,result,C23_8,86.663,541.8985,3600.7712,18,157,1395,2,1142.7936,503.6849,974.4678,976.8323,7853,1395,3813,3467,1790,76
slurm_20645692-77.out,result,C24_1,3275.8904,0,3600.9054,970,0,1076,1,944.9758,1023.9618,1415.7776,213.4039,6482,1076,5879,845,1503,77
slurm_20645692-78.out,result,C24_2,0,0,3600.2068,0,0,989,0,1798.3826,387.3466,1232.0967,179.4598,13200,989,5459,818,1386,78
slurm_20645692-79.out,result,C24_3,0,0,3608.0518,0,0,481,0,2644.1191,244.6891,608.5349,108.7969,20715,481,2886,566,764,79
slurm_20645692-80.out,result,C24_4,0,0,3621.0019,0,0,183,0,3168.0452,105.3423,309.1963,36.6615,24203,183,1734,166,346,80
slurm_20645692-81.out,result,C25_1,0,0,3605.7357,0,0,1031,0,936.3278,768.6679,1808.9409,89.9924,7705,1031,7592,401,1522,81
slurm_20645692-82.out,result,C25_2,0,0,3609.6656,0,0,756,0,1180.1715,504.62,1784.6926,138.3326,10423,756,8296,476,1530,82
slurm_20645692-83.out,result,C25_3,0,0,3603.2984,0,0,695,0,1593.3267,364.2806,1598.4417,45.3983,12816,695,6525,176,1260,83
slurm_20645692-84.out,result,C25_4,0,0,3600.8256,0,0,787,0,995.6427,480.8344,2042.7208,79.7435,8323,787,8985,382,1679,84
slurm_20645692-85.out,result,C32_1,70.3371,0,3600.2858,16,0,1147,1,1628.332,192.7934,1314.516,462.5164,12938,1147,3641,1325,1657,85
slurm_20645692-86.out,result,C32_2,6.2321,0,3600.0562,1,0,1361,1,1487.4116,427.7442,1123.5041,558.9505,10907,1361,3186,1545,1835,86
slurm_20645692-87.out,result,C32_3,3.0861,3522.7771,3603.9974,1,1034,1055,3,1664.243,209.223,1414.6035,313.3988,11926,1055,3464,828,1553,87
slurm_20645692-88.out,result,C32_4,0,0,3600.8673,0,0,493,0,2803.9963,91.1488,594.5023,109.1808,19296,493,1981,340,749,88
slurm_20645692-89.out,result,C33_1,388.5437,0,3601.8691,32,0,734,1,1899.9305,131.3718,1484.6078,83.6746,13560,734,6308,269,1348,89
slurm_20645692-90.out,result,C33_2,0,0,3602.5796,0,0,575,0,2045.9269,118.8741,1347.4934,88.4501,14969,575,5114,360,977,90
slurm_20645692-91.out,result,C33_3,0,0,3602.6523,0,0,419,0,2301.6268,104.5736,1079.6465,114.7316,16341,419,3888,356,793,91
slurm_20645692-92.out,result,C33_4,0,0,3600.9945,0,0,365,0,2683.1651,56.2769,804.8552,54.6084,19891,365,3105,150,638,92
slurm_20645692-13.out,result,N22_1,8.598,328.1007,719.4063,5,305,554,2,283.5308,80.3867,197.5978,156.9771,2724,554,1105,843,708,13
slurm_20645692-14.out,result,N22_2,68.2328,0,2760.5043,24,0,1056,1,1765.434,193.4548,515.688,284.1318,10035,1056,2009,1278,1309,14
slurm_20645692-15.out,result,N22_3,0,0,922.6946,0,0,439,0,468.0292,78.5902,235.4886,139.7094,2548,439,904,587,650,15
slurm_20645692-16.out,result,N22_4,0,0,3600.1284,0,0,859,0,2711.8214,171.5742,454.5107,260.1953,17588,859,1927,983,1127,16
slurm_20645692-17.out,result,N23_1,0,0,3600.7617,0,0,1507,0,1838.8709,447.0259,1029.9957,282.9075,8993,1507,3867,1051,1772,17
slurm_20645692-18.out,result,N23_2,117.2343,0,3600.0337,34,0,1637,1,1619.5752,474.3904,1165.7415,338.2471,8510,1637,3686,1147,2137,18
slurm_20645692-19.out,result,N23_3,0,0,3600.1226,0,0,430,0,2938.296,131.8476,509.1362,19.2003,16578,430,1879,106,643,19
slurm_20645692-20.out,result,N23_4,-1,0,-,Error: Gauss-Seidel Procedure produced infeasible point,,,,,,,,,,,,,
slurm_20645692-21.out,result,N23_5,5.6908,0,3600.0265,1,0,1555,1,1423.0142,342.2334,1028.4904,804.1444,8979,1555,3743,2969,2480,21
slurm_20645692-22.out,result,N23_6,0,0,3601.0732,0,0,414,0,2893.3766,122.2434,455.2712,128.6066,10682,414,1865,435,623,22
slurm_20645692-23.out,result,N23_7,0,0,3632.1485,0,0,497,0,2791.6045,202.7023,466.3976,169.7579,9449,497,1887,805,803,23
slurm_20645692-24.out,result,N23_8,0,0,3602.1813,0,0,523,0,2705.9781,112.0351,561.6526,220.7576,8815,523,2556,916,1094,24
slurm_20645692-25.out,result,N24_1,5.192,0,3602.8766,1,0,1232,1,1609.5614,357.8572,1261.016,372.1536,7617,1232,4788,1422,2011,25
slurm_20645692-26.out,result,N24_2,0,0,3602.4146,0,0,413,0,2932.8532,79.3395,558.4797,30.0589,11098,413,2679,107,612,26
slurm_20645692-27.out,result,N24_3,0,0,3603.7716,0,0,164,0,3198.6681,53.5383,345.8418,4.3078,9296,164,1519,61,290,27
slurm_20645692-28.out,result,N24_4,0,0,3601.1189,0,0,479,0,2519.3215,379.4959,653.4154,47.2216,9081,479,3105,218,685,28
slurm_20645692-29.out,result,N25_1,0,0,3612.7421,0,0,43,0,3447.1915,21.1972,142.088,1.1385,10810,43,721,7,100,29
slurm_20645692-30.out,result,N25_2,14.7784,0,3600.22,1,0,1026,1,1371.0029,523.166,1618.3622,85.8093,6885,1026,7209,315,1485,30
slurm_20645692-31.out,result,N25_3,0,0,3620.802,0,0,465,0,2818.8339,136.6474,645.3728,18.5782,8059,465,2951,101,601,31
slurm_20645692-32.out,result,N25_4,0,0,3602.2968,0,0,564,0,2280.4077,395.1681,892.3647,32.8693,8101,564,3999,99,804,32
slurm_20645692-33.out,result,N32_1,0,0,3601.1313,0,0,699,0,2221.2239,334.5978,769.3178,273.952,16706,699,2332,975,1034,33
slurm_20645692-34.out,result,N32_2,339.3659,0,3601.852,96,0,1225,1,2107.0767,253.1022,899.9445,339.7292,10015,1225,2983,1215,1540,34
slurm_20645692-35.out,result,N32_3,35.9587,0,3600.3098,8,0,1253,1,1916.1177,215.8043,1036.3495,429.9169,11427,1253,3243,1185,1815,35
slurm_20645692-36.out,result,N32_4,929.7617,0,3600.7734,259,0,1312,1,1554.7934,255.999,1208.7114,579.2671,10202,1312,3785,1451,1596,36
slurm_20645692-37.out,result,N33_1,0,0,3600.0221,0,0,510,0,2434.4145,117.4125,990.9378,55.5952,14147,510,3129,164,759,37
slurm_20645692-38.out,result,N33_2,0,0,3648.8104,0,0,154,0,3014.2766,37.53,578.3678,17.4507,8055,154,2473,37,390,38
slurm_20645692-39.out,result,N33_3,0,0,3600.0205,0,0,71,0,3365.9101,22.4988,200.0438,10.1989,16462,71,810,32,131,39
slurm_20645692-40.out,result,N33_4,0,0,3600.432,0,0,487,0,2435.7653,109.7726,1008.3085,44.9598,13057,487,3201,127,686,40
